i,perc,n,acc,cor,alpha
0,0.1,584,0.36619718309859156,0.09354972879351978,0.08197409450707593
0,0.1473684210526316,890,0.4295774647887324,0.16366504805135978,0.128255472655028
0,0.19473684210526315,1186,0.4612676056338028,0.22797196839771822,0.20885951065509079
0,0.24210526315789474,1448,0.4753521126760563,0.2496903232765274,0.23525403932256173
0,0.2894736842105263,1786,0.4788732394366197,0.2762282276742617,0.2659406288424381
0,0.33684210526315794,2088,0.5211267605633803,0.37702556202305854,0.362840861487722
0,0.38421052631578945,2377,0.49295774647887325,0.31575385996686506,0.3003445648435973
0,0.43157894736842106,2604,0.5246478873239436,0.3558368454396839,0.3360519341783592
0,0.4789473684210527,2928,0.5211267605633803,0.38101070755946254,0.3636861885374255
0,0.5263157894736842,3208,0.5211267605633803,0.3107850573697789,0.2968863728265265
0,0.5736842105263158,3470,0.5211267605633803,0.35065058844811375,0.34060871632431455
0,0.6210526315789474,3729,0.4964788732394366,0.30161859681433173,0.29041964000426024
0,0.6684210526315789,4071,0.5633802816901409,0.3677325112066641,0.3580424384286587
0,0.7157894736842105,4309,0.5598591549295775,0.39892860493491694,0.38376100095429955
0,0.7631578947368421,4635,0.5598591549295775,0.3938435195382936,0.38424683786891534
0,0.8105263157894737,4909,0.5704225352112676,0.4041609722532725,0.39110505775426285
0,0.8578947368421053,5166,0.5704225352112676,0.3921739706570792,0.3832577791470446
0,0.9052631578947369,5472,0.5492957746478874,0.4000405988611497,0.3881202706282998
0,0.9526315789473684,5722,0.5598591549295775,0.39410462232857946,0.38342757720748166
0,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
1,0.1,586,0.45774647887323944,0.21164405648460802,0.20388158412723412
1,0.1473684210526316,880,0.5,0.23351458575089604,0.21081370449678805
1,0.19473684210526315,1214,0.5070422535211268,0.32367735839619133,0.3131502956410138
1,0.24210526315789474,1418,0.4788732394366197,0.2627676179928348,0.23747703123751696
1,0.2894736842105263,1764,0.49295774647887325,0.2917265653261583,0.2800459532271393
1,0.33684210526315794,1982,0.4894366197183099,0.28516435501011095,0.27436119937821113
1,0.38421052631578945,2314,0.5176056338028169,0.3557936985788043,0.3373071528751752
1,0.43157894736842106,2561,0.5105633802816901,0.2926124751274511,0.277299890473781
1,0.4789473684210527,2773,0.5352112676056338,0.3453812759769459,0.3346979218273317
1,0.5263157894736842,3178,0.545774647887324,0.4273362973351496,0.4140391927464172
1,0.5736842105263158,3466,0.5563380281690141,0.3944532823216516,0.38003220611916255
1,0.6210526315789474,3764,0.5774647887323944,0.423001574294795,0.40736296066893773
1,0.6684210526315789,4039,0.5563380281690141,0.3715260638566871,0.3537190964052179
1,0.7157894736842105,4332,0.5633802816901409,0.39578645509833177,0.3843252655182827
1,0.7631578947368421,4680,0.5598591549295775,0.3931315037546717,0.3834433527786306
1,0.8105263157894737,4843,0.5669014084507042,0.34279672908746,0.33506090640841346
1,0.8578947368421053,5203,0.545774647887324,0.36322288623424903,0.3557738276326654
1,0.9052631578947369,5482,0.5528169014084507,0.37811558684500046,0.369050571335915
1,0.9526315789473684,5779,0.5633802816901409,0.39463097348350923,0.3860545930701047
1,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
2,0.1,622,0.44366197183098594,0.21002500897799342,0.18573078289707456
2,0.1473684210526316,871,0.45422535211267606,0.14963760658357508,0.1340515652389801
2,0.19473684210526315,1169,0.4507042253521127,0.2633481050280278,0.23865365678990236
2,0.24210526315789474,1456,0.44366197183098594,0.21028744859648563,0.1949085930170643
2,0.2894736842105263,1744,0.5422535211267606,0.42220452249160384,0.4114174356622915
2,0.33684210526315794,2028,0.4894366197183099,0.27879685126439163,0.2642941441118364
2,0.38421052631578945,2371,0.49295774647887325,0.2679938959694484,0.2572100814046705
2,0.43157894736842106,2605,0.4894366197183099,0.31566317376886643,0.2994355426074291
2,0.4789473684210527,2935,0.5352112676056338,0.4155343280045573,0.3910277594183741
2,0.5263157894736842,3145,0.5492957746478874,0.3525096370363328,0.33851047050465677
2,0.5736842105263158,3520,0.528169014084507,0.2800291033337961,0.27098333676198316
2,0.6210526315789474,3780,0.5598591549295775,0.43513728721810807,0.4208450777068087
2,0.6684210526315789,4004,0.573943661971831,0.4031648383941555,0.39318350209928377
2,0.7157894736842105,4327,0.5352112676056338,0.3613164350391132,0.35141370730603927
2,0.7631578947368421,4653,0.5633802816901409,0.3572996980641796,0.34565382334750927
2,0.8105263157894737,4931,0.5492957746478874,0.35730738855891686,0.34570877842172787
2,0.8578947368421053,5230,0.5809859154929577,0.46428573887616226,0.4552098636862365
2,0.9052631578947369,5462,0.5563380281690141,0.4022206100459568,0.3917034211467397
2,0.9526315789473684,5743,0.5598591549295775,0.40944375387653686,0.4004558837496439
2,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
3,0.1,656,0.35563380281690143,-0.021562653516413365,-0.03210980381216744
3,0.1473684210526316,902,0.41901408450704225,0.08950859953816183,0.08444759206798869
3,0.19473684210526315,1144,0.46830985915492956,0.25159319662639534,0.2368349478000712
3,0.24210526315789474,1539,0.5105633802816901,0.2515931966263952,0.2368349478000712
3,0.2894736842105263,1765,0.49295774647887325,0.251779518136196,0.23693019082784095
3,0.33684210526315794,2079,0.4894366197183099,0.27488061359534005,0.2608878121363576
3,0.38421052631578945,2331,0.4964788732394366,0.24589790223300226,0.23965792070440006
3,0.43157894736842106,2637,0.4753521126760563,0.2162861533964669,0.2009926764083162
3,0.4789473684210527,2831,0.5070422535211268,0.28548617024371337,0.27352067135794356
3,0.5263157894736842,3124,0.5,0.24646634082262067,0.23306627822286974
3,0.5736842105263158,3458,0.545774647887324,0.43101014042978647,0.41517018856946397
3,0.6210526315789474,3677,0.5070422535211268,0.31623749269414536,0.3080145948666332
3,0.6684210526315789,4041,0.5563380281690141,0.3848863331446541,0.3734644687271812
3,0.7157894736842105,4259,0.5598591549295775,0.4073370600752846,0.3969736917521637
3,0.7631578947368421,4642,0.5633802816901409,0.39578645509833166,0.3843252655182827
3,0.8105263157894737,4900,0.5492957746478874,0.3956047901923302,0.386207335710647
3,0.8578947368421053,5201,0.573943661971831,0.42887861150263085,0.4172512140599707
3,0.9052631578947369,5465,0.5563380281690141,0.4117612128726582,0.4017635089305901
3,0.9526315789473684,5759,0.5633802816901409,0.39138948748007346,0.3818796837915117
3,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
4,0.1,602,0.4471830985915493,0.14819885636581906,0.1369115896547991
4,0.1473684210526316,874,0.4295774647887324,0.11512320023456937,0.09845890410958902
4,0.19473684210526315,1215,0.47183098591549294,0.2376484808480991,0.22425373134328364
4,0.24210526315789474,1468,0.49295774647887325,0.21367359830765364,0.20327868852459008
4,0.2894736842105263,1759,0.44366197183098594,0.1643271826965696,0.14882646267916344
4,0.33684210526315794,2064,0.5176056338028169,0.29985140213587974,0.2816222570532916
4,0.38421052631578945,2345,0.5246478873239436,0.3425213210777688,0.3288953678874973
4,0.43157894736842106,2631,0.5,0.33921427500420387,0.3249819417319886
4,0.4789473684210527,2855,0.5422535211267606,0.33386161631750894,0.31983232693551866
4,0.5263157894736842,3177,0.5352112676056338,0.30016697904279876,0.28994105295114736
4,0.5736842105263158,3458,0.5352112676056338,0.3244880623311462,0.31316591554432494
4,0.6210526315789474,3756,0.5140845070422535,0.31955034134017296,0.3068277421390262
4,0.6684210526315789,4044,0.5492957746478874,0.38385198631236156,0.3722376883939714
4,0.7157894736842105,4285,0.5352112676056338,0.3732227834567314,0.3593559001737774
4,0.7631578947368421,4575,0.5492957746478874,0.4021843224443637,0.39170515793733895
4,0.8105263157894737,4929,0.5528169014084507,0.40221967601618863,0.39002229365408536
4,0.8578947368421053,5161,0.5633802816901409,0.38147679297015924,0.3726250165972218
4,0.9052631578947369,5445,0.573943661971831,0.42361192914861096,0.4140147984706979
4,0.9526315789473684,5755,0.5704225352112676,0.4087903307501456,0.40084288520351075
4,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
5,0.1,599,0.43661971830985913,0.1132961404268629,0.09491782075144328
5,0.1473684210526316,873,0.4471830985915493,0.1687216806830447,0.1441777320247345
5,0.19473684210526315,1160,0.4753521126760563,0.24472380325524898,0.23221234749684472
5,0.24210526315789474,1441,0.4823943661971831,0.2945072996974341,0.27758631493201325
5,0.2894736842105263,1750,0.46830985915492956,0.23680112497279907,0.22521879978403314
5,0.33684210526315794,2041,0.5070422535211268,0.3444290362378314,0.32980936218543444
5,0.38421052631578945,2332,0.4964788732394366,0.3338461722372679,0.31655981773868813
5,0.43157894736842106,2575,0.4823943661971831,0.24274063801985127,0.22639621611788252
5,0.4789473684210527,2906,0.5387323943661971,0.3624247951042669,0.3418113065902978
5,0.5263157894736842,3119,0.5633802816901409,0.3694655598330329,0.35177602892693827
5,0.5736842105263158,3486,0.5316901408450704,0.36773251120666417,0.3580424384286587
5,0.6210526315789474,3813,0.5422535211267606,0.3521874182970995,0.3413636363636364
5,0.6684210526315789,4063,0.5704225352112676,0.4015490978753338,0.38530897168090117
5,0.7157894736842105,4306,0.5633802816901409,0.4001060271669166,0.3887022364858089
5,0.7631578947368421,4627,0.545774647887324,0.335126031089036,0.32453861927546135
5,0.8105263157894737,4899,0.5387323943661971,0.3685973213865554,0.36102786377708984
5,0.8578947368421053,5156,0.5528169014084507,0.35993819214366574,0.3520981824380204
5,0.9052631578947369,5463,0.5669014084507042,0.3929497941476638,0.3834722725625226
5,0.9526315789473684,5755,0.5704225352112676,0.42781857545511087,0.4196230183497691
5,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
6,0.1,571,0.45774647887323944,0.17862924633754582,0.16674203029617907
6,0.1473684210526316,936,0.43309859154929575,0.17837413433816846,0.16790807143846043
6,0.19473684210526315,1188,0.44014084507042256,0.1969066583820875,0.18008729882441155
6,0.24210526315789474,1437,0.4753521126760563,0.2756340389614668,0.2601610216546363
6,0.2894736842105263,1730,0.49295774647887325,0.22206006372111178,0.2087212525569213
6,0.33684210526315794,2042,0.49295774647887325,0.28790577816803786,0.2778768344534358
6,0.38421052631578945,2328,0.5035211267605634,0.35839250418086466,0.349015941928967
6,0.43157894736842106,2645,0.5,0.28065602581790544,0.263805086687543
6,0.4789473684210527,2862,0.5246478873239436,0.30045232668228133,0.2898980751815957
6,0.5263157894736842,3140,0.5176056338028169,0.31856189547146657,0.306905506035958
6,0.5736842105263158,3484,0.5422535211267606,0.33907611095106605,0.3230428108476888
6,0.6210526315789474,3727,0.5352112676056338,0.30046417590758934,0.29124559232333536
6,0.6684210526315789,4060,0.5422535211267606,0.3687133225700385,0.3556818181818181
6,0.7157894736842105,4362,0.5492957746478874,0.40518769391901277,0.3898905597984411
6,0.7631578947368421,4612,0.5492957746478874,0.3624769953999061,0.34900682908699954
6,0.8105263157894737,4896,0.5492957746478874,0.3963444000071839,0.3885782672924808
6,0.8578947368421053,5222,0.5704225352112676,0.4426040679280773,0.42878034513015506
6,0.9052631578947369,5485,0.5845070422535211,0.43185373927694154,0.4206008583690988
6,0.9526315789473684,5768,0.5704225352112676,0.3956047901923302,0.386207335710647
6,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
7,0.1,573,0.426056338028169,0.16243349230115062,0.15389657480754215
7,0.1473684210526316,899,0.41901408450704225,0.17423673526813147,0.1670611278870482
7,0.19473684210526315,1106,0.4788732394366197,0.2376010081609886,0.22812432607289201
7,0.24210526315789474,1457,0.4894366197183099,0.285680578050761,0.26568593078084424
7,0.2894736842105263,1738,0.49295774647887325,0.3015815775627588,0.29374685455460503
7,0.33684210526315794,2012,0.5140845070422535,0.2990967475007498,0.28143628256277875
7,0.38421052631578945,2256,0.5105633802816901,0.36330454585148875,0.3522911051212938
7,0.43157894736842106,2582,0.545774647887324,0.33802659451159983,0.3225070606126439
7,0.4789473684210527,2895,0.4964788732394366,0.3027383015939758,0.2914679385267621
7,0.5263157894736842,3204,0.528169014084507,0.28430628283228104,0.27528758429194755
7,0.5736842105263158,3523,0.5492957746478874,0.3480647856621237,0.3323136434506305
7,0.6210526315789474,3747,0.5528169014084507,0.405676834873549,0.3989498077112711
7,0.6684210526315789,3957,0.5598591549295775,0.40365847303119323,0.3903534293014901
7,0.7157894736842105,4322,0.5422535211267606,0.3430818856161702,0.3324077746925822
7,0.7631578947368421,4580,0.5422535211267606,0.3392142750042041,0.3249819417319886
7,0.8105263157894737,4873,0.5492957746478874,0.40049520405673716,0.3890677523211026
7,0.8578947368421053,5199,0.5633802816901409,0.4209150883036733,0.40578495074407883
7,0.9052631578947369,5447,0.5704225352112676,0.3921739706570789,0.3832577791470446
7,0.9526315789473684,5740,0.5704225352112676,0.4235338356668645,0.4137096164031172
7,1.0,6038,0.5774647887323944,0.43426310583325556,0.4249780893952674
8,0.1,605,0.4154929577464789,0.07576709986527569,0.07079114037284862
8,0.1473684210526316,889,0.4507042253521127,0.18617130060358478,0.1548677319726065
8,0.19473684210526315,1177,0.49295774647887325,0.3421821391401163,0.33108774553729725
8,0.24210526315789474,1464,0.4647887323943662,0.18746178614807182,0.17512885834468872
8,0.2894736842105263,1739,0.46830985915492956,0.23191921015350747,0.2138673646564906
8,0.33684210526315794,2097,0.4788732394366197,0.26080186568585445,0.2486026189414019
8,0.38421052631578945,2254,0.5140845070422535,0.33456843819432636,0.32344637373098517
8,0.43157894736842106,2618,0.5070422535211268,0.349758121124873,0.3329233401962619
8,0.4789473684210527,2905,0.5669014084507042,0.3474807294224747,0.3353218537525725
8,0.5263157894736842,3136,0.5492957746478874,0.37885006571880897,0.36496956281128945
8,0.5736842105263158,3484,0.5140845070422535,0.34189229510405117,0.32785260295624563
8,0.6210526315789474,3748,0.5105633802816901,0.29634276543577004,0.28490826540636705
