"uncivil","id_str","created_at","text"
"no",788111645419503616,"Mon Oct 17 20:17:13 +0000 2016","@SenRonJohnson, 2 people were injured by guns in Milwaukee today. What will you do about it? https://t.co/mb9fOEHnWh #shootatweet"
"no",788139422961336320,"Mon Oct 17 22:07:36 +0000 2016","@WalshFreedom @LindaSuhler Trump is running against the media"
"no",788152409923031040,"Mon Oct 17 22:59:12 +0000 2016","@SenJohnMcCain Circle it on a calendar."
"no",788182962953125888,"Tue Oct 18 01:00:36 +0000 2016","@RoyBlunt can you tell me why Obama has all the U.N. tanks and vehicles coming into the United States?  Americans want to know the TRUTH!!!!"
"no",788186697074823168,"Tue Oct 18 01:15:27 +0000 2016","@Ann_Kirkpatrick I voted for you, Clinton/Kaine, and other Democrats with my Pima County absentee ballot, today!"
"no",788194934922895360,"Tue Oct 18 01:48:11 +0000 2016","@GrierMartin another great NC hotspot for tech start-ups!"
"yes",788212986133483520,"Tue Oct 18 02:59:54 +0000 2016","@PatrickMurphyFL @marcorubio whip his ass Murphy"
"no",788214386716512256,"Tue Oct 18 03:05:28 +0000 2016","@SpeakerRyan you look as though you are dancing."
"no",788331760337711104,"Tue Oct 18 10:51:52 +0000 2016","@DWStweets @donnabrazile @johnpodesta @brianefallon @HumaAbedin @HillaryClinton  @FoxNews @seanhannity… https://t.co/F24CLv26rX"
"no",788354069094080512,"Tue Oct 18 12:20:31 +0000 2016","@TGowdySC https://t.co/0PCa7q6dFK"
"no",788371957666320384,"Tue Oct 18 13:31:36 +0000 2016","@Jim_Jordan Please help a dying little girl who had funds for her life saving surgery stolen Pls Donate&amp;RT https://t.co/EAcPN9pS98"
"no",788374455940775936,"Tue Oct 18 13:41:32 +0000 2016","@replouiegohmert"
"no",788380459726168064,"Tue Oct 18 14:05:23 +0000 2016","@SpeakerRyan Support the nominee! #MAGA3X"
"no",788390459412320256,"Tue Oct 18 14:45:07 +0000 2016","@TGowdySC @jasoninthehouse more ammo to LOCK HER UP! https://t.co/7qQWIG7H6E"
"no",788413111074107392,"Tue Oct 18 16:15:08 +0000 2016","@jasoninthehouse @Tamaralynn212 Re open the Clinton case Lock her up @JasonChaffetz"
"no",788426905095589888,"Tue Oct 18 17:09:57 +0000 2016","@NancyPelosi @TeamPelosi @marcPelosi @PelosiNews @leannepelosi @PelosiPress @AndrewPelosi @fabiopelosin… https://t.co/2UUFU5gFBQ"
"no",788426923059871744,"Tue Oct 18 17:10:01 +0000 2016","@rosadelauro Please sign the bipartisan DelBene-McKinley-Van Hollen-King letter to appropriations Committee - secure @NIH #Budget2017"
"no",788440859146616832,"Tue Oct 18 18:05:24 +0000 2016","@SpeakerRyan When are you going to DO SOMETHING about this corrupt President,DOJ and FBI? If it were a Repub they all would be out!"
"no",788446903503499264,"Tue Oct 18 18:29:25 +0000 2016","@WalshFreedom I tried to check this out and it's unavailable. Interesting,huh? https://t.co/CmYFaX2N99"
"no",788447271020957696,"Tue Oct 18 18:30:52 +0000 2016","@TGowdySC I also teach my son's about their rights, how to be exceptional men, the constitution. I am afraid our coutry has lost its way."
"no",788469946128867328,"Tue Oct 18 20:00:58 +0000 2016","@SpeakerRyan efficient? Effective? Our government has long been unaware of the meaning of those 2 words."
"no",788473997528735744,"Tue Oct 18 20:17:04 +0000 2016","@SenatorIsakson, 2 people were injured by guns in Stone Mountain today. What will you do about it? https://t.co/UgrglggAJU #shootatweet"
"yes",788491750767722496,"Tue Oct 18 21:27:37 +0000 2016","@SpeakerRyan You misspelled ""limp-wristed and ineffectual""."
"no",788512034895826944,"Tue Oct 18 22:48:13 +0000 2016","@SpeakerRyan Sheriff Clarke is a disgraces to the WI Law enforcement community. What happened 2 Protect &amp; Serve."
"no",788517800402833408,"Tue Oct 18 23:11:08 +0000 2016","@SpeakerRyan Support/Donate to ISSA (principled like you?); what difference does it make without @realDonaldTrump in office?"
"no",788530122752159744,"Wed Oct 19 00:00:06 +0000 2016","@cathymcmorris @SpeakerRyan Tell them to start doing their jobs"
"no",788536626054070272,"Wed Oct 19 00:25:56 +0000 2016","@SpeakerRyan  DON'T PLAY FOLLOW THE LEADERS OF OTHER COUNTRIES,USE YOUR THINKING TANKS.That is true Leadership"
"no",788584397511487488,"Wed Oct 19 03:35:46 +0000 2016","@kelliwardaz @Thunderhorse149 @JeffFlake THE MACHINES ARE STILL OWNED BY SOROS"
"no",788617019881091072,"Wed Oct 19 05:45:23 +0000 2016","@SpeakerRyan You should go into hiding. The swamp will be drained. Term Limits"
"yes",788650850268934144,"Wed Oct 19 07:59:49 +0000 2016","@SpeakerRyan you have no brain YOU are destroying this country RINO"
"no",788655254317387776,"Wed Oct 19 08:17:19 +0000 2016","@micaforcongress, another one injured by guns in Cape Coral today. What will you do about it? https://t.co/x1db4rtReL #shootatweet"
"no",788699032772227072,"Wed Oct 19 11:11:17 +0000 2016","@marcorubio SERIOUSLY MARCO NOT USING EVIDENCE THAT SHOWS HOW CORRUPT HITLERY IS, STOP PANDERING TO THE DEMOCRATS AND DO YOUR JOB!!!!"
"no",788711745527439360,"Wed Oct 19 12:01:48 +0000 2016","@SpeakerRyan You owe America a complete Supreme Court, it's your job!  The American people PAY YOU to do a job.  What say ye."
"no",788738618055593984,"Wed Oct 19 13:48:35 +0000 2016","@marcorubio - You've been with Trump all along!  It's not going to be Trump saying ""You're Fired"".  The people on 1… https://t.co/NH61lSNxef"
