"uncivil","id_str","created_at","text"
"no","875483509741244416","Thu Jun 15 22:41:49 +0000 2017","@RodneyDavis @allison0512 Karma gave you a second chance yesterday.  Start doing more about gun control."
"no","854475617651183616","Tue Apr 18 23:23:57 +0000 2017","@SteveKingIA With people like you, Steve King there's still hope for western civilization"
"no","840629683339317248","Sat Mar 11 18:25:09 +0000 2017","@SpeakerRyan @HouseGOP You bill is a joke and will sink the GOP. #WEDESERVEBETTER #OURLEADERSSUCK"
"yes","921954017885921280","Sun Oct 22 04:19:01 +0000 2017","@RepAdamSchiff Dream on. The only thing trump understands is how to enrich trump Sadly he doesn’t have the intellec… https://t.co/OtYCuSgJhG"
"yes","876939282069544960","Mon Jun 19 23:06:32 +0000 2017","@SenSchumer @SenateGOP Just like the Democrat taliban party was up front with the AHCA. Hypocrites"
"no","791784139447865344","Thu Oct 27 23:30:24 +0000 2016","@SpeakerRyan you are going to have more of the same with HRC, and you are partly responsible. Very disappointed in all of you in DC"
"no","840569197604159488","Sat Mar 11 14:24:48 +0000 2017","@MaxineWaters @DeutscheBank ICYMI 3 https://t.co/fpvEPfk2Xg https://t.co/joOZvsehlH"
"no","826459912192589824","Tue Jan 31 15:59:32 +0000 2017","@RepAbraham @shreveporttimes Fantastic article! I appreciate your understanding of the weaknesses of #medicaid, thanks for your leadership!"
"no","916023122637328384","Thu Oct 05 19:31:45 +0000 2017","@RoyBlunt While corporations scored record profits"
"yes","833086390095196160","Sat Feb 18 22:50:48 +0000 2017","@SenJohnHoeven How will you go home and face your family after voting for Scott Pruitt? SORRY KIDS I TO VOTED TO DESTROY OUR PLANET TODAY!!"
"no","888905325851533312","Sat Jul 22 23:35:19 +0000 2017","@SenBennetCO @SenCoryGardner https://t.co/D2VNBDfcbI"
"no","872884004634193920","Thu Jun 08 18:32:18 +0000 2017","@RepAdamSchiff @DickPolman1 Hahaha"
"no","862357509776035840","Wed May 10 17:23:46 +0000 2017","@SenJohnMcCain Time to change party's john boy.."
"yes","864176273148452864","Mon May 15 17:50:53 +0000 2017","@RepAdamSchiff @bridgetsimonds0 Sessions is only the ATTORNEY GENERAL.  Schiff's an anti-Trump moron."
"no","904028651183800320","Sat Sep 02 17:10:01 +0000 2017","@SpeakerRyan I am done with you Paul"
"no","820308897730883584","Sat Jan 14 16:37:36 +0000 2017","@SteveKingIA Sir, you said this on @NPR re: #PreExistingConditions, what about those w/ lifelong illness/defects? O… https://t.co/IvGe0TcQQl"
"no","845310857798189056","Fri Mar 24 16:26:28 +0000 2017","@MarkAmodeiNV2 Thank you."
"yes","904401444127813632","Sun Sep 03 17:51:21 +0000 2017","@SpeakerRyan #AndToThinkIVotedForThisShit
#FireRyan
#CongressBackTrumpOrPack https://t.co/4au26PabTM"
